6,7,8,9,10,11,12,13,14,15
21.19,18.56,60.39,1.12,47.86,20.05,45.42,76.15,13.55,68.65
36.4,29.8,37.53,0.28,30.64,17.65,37.75,64.49,2.58,54.32
63.4,16.5,30.79,0.21,34.73,10.09,26.66,60.78,2.22,50.97
2.9,17.0,70.02,1.2,39.86,28.7,54.27,78.46,13.74,68.58
8.09,14.06,90.64,3.33,100.0,33.5,42.96,74.6,15.52,62.61
19.97,20.71,61.37,1.1,53.4,21.96,70.17,71.62,4.56,62.66
6.5,16.8,91.53,2.39,96.28,28.9,57.97,77.81,1.09,84.31
15.9,15.8,63.44,3.96,51.12,21.8,46.01,76.52,11.12,64.12
2.8,22.3,86.48,2.9,48.22,24.1,94.04,74.94,11.25,68.11
5.88,2.87,12.58,0.78,25.75,3.67,11.41,6.61,0.05,6.36
11.9,22.6,61.59,2.76,46.3,20.87,53.15,76.89,8.8,69.12
4.6,9.1,80.19,3.59,75.64,14.7,46.81,82.75,15.66,65.15
2.6,11.4,98.91,5.14,96.75,29.6,51.35,81.64,19.0,66.7
8.8,22.2,73.56,3.45,52.9,20.8,83.24,72.86,6.2,70.44
55.8,22.9,25.4,0.05,26.44,12.35,6.14,61.25,2.25,52.25
7.9,11.4,99.52,3.32,97.1,28.2,48.82,81.6,18.79,64.16
54.1,19.6,74.36,0.16,89.96,6.4,11.03,61.47,3.25,54.3
56.3,21.7,26.0,0.06,26.21,12.5,11.88,61.17,2.41,52.64
25.6,21.6,55.44,0.53,44.26,23.0,34.81,72.32,5.16,67.14
2.2,23.6,96.95,3.99,64.41,37.0,54.37,74.87,21.02,64.38
6.9,11.3,98.98,0.93,96.0,26.4,51.66,77.16,2.43,78.32
16.9,15.5,77.64,1.94,81.85,11.5,70.67,73.75,7.26,70.26
1.8,17.8,88.84,2.0,21.55,38.9,97.16,77.26,16.47,68.76
2.5,23.7,94.52,4.08,80.52,26.7,53.27,74.18,14.85,68.29
19.4,22.1,59.98,1.13,40.91,20.62,90.08,74.5,4.74,64.98
24.29,17.96,59.91,1.77,47.32,18.98,45.44,81.65,10.08,66.52
22.4,17.2,42.14,1.61,22.94,14.07,25.38,71.24,7.19,61.73
13.9,16.6,62.93,2.15,49.28,13.9,47.13,75.67,8.92,69.74
13.0,16.2,63.96,2.49,36.82,7.8,88.47,79.08,15.8,66.85
7.8,16.6,63.25,1.77,46.86,16.9,50.81,75.72,4.87,72.1
20.9,23.3,36.16,0.37,26.0,18.08,79.81,71.46,6.0,68.23
46.0,20.3,53.88,0.37,55.03,20.0,38.67,69.28,4.22,61.66
